occupation,gender,category,income,area_type,disability,scheme_name,official_link,req,min_age,max_age,mode_of_application,Description,Required_Documents
Self-employed,Other,General,7363,Urban,No,Tamil Nadu Chief Minister's Solar Rooftop Capital Incentive Scheme,https://www.tnebltd.gov.in/usrp/,,18,75,tnebltd.gov.in/usrp,Subsidy for solar rooftop installation.,"Electricity bill, Aadhar, Land proof"
Self-employed,Male,OBC,23485,Rural,No,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Farmer,Other,OBC,47328,Urban,No,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Unemployed,Female,ST,9314,Rural,Yes,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Homemaker,Male,ST,10617,Rural,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Self-employed,Male,General,26104,Urban,Yes,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Student,Female,ST,20896,Rural,No,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Farmer,Female,ST,13006,Rural,Yes,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Employee,Male,SC,8348,Urban,No,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Farmer,Male,OBC,6933,Rural,No,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Farmer,Other,OBC,11128,Rural,Yes,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Employee,Female,OBC,10170,Urban,Yes,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Farmer,Other,General,22265,Urban,Yes,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Student,Male,OBC,30956,Urban,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Self-employed,Other,General,15656,Rural,No,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Unemployed,Other,SC,30882,Rural,Yes,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Employee,Male,ST,42645,Rural,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Student,Other,SC,35969,Urban,No,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Farmer,Female,ST,20497,Rural,Yes,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Homemaker,Female,SC,25348,Urban,No,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Homemaker,Male,ST,38804,Rural,Yes,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Employee,Male,ST,16134,Rural,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Homemaker,Female,SC,8712,Rural,Yes,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Self-employed,Male,ST,19951,Urban,Yes,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Student,Male,General,26845,Urban,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Unemployed,Other,SC,45508,Urban,No,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Unemployed,Male,OBC,45185,Urban,No,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Employee,Male,SC,41488,Rural,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Self-employed,Female,ST,45548,Urban,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Farmer,Female,ST,11663,Rural,Yes,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Self-employed,Other,ST,41094,Rural,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Self-employed,Other,OBC,21650,Urban,No,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Farmer,Other,ST,28421,Rural,No,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Student,Male,OBC,14516,Rural,Yes,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Student,Other,SC,37932,Rural,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Unemployed,Male,OBC,36529,Rural,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Student,Other,ST,31608,Urban,No,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Farmer,Other,OBC,43747,Urban,Yes,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Employee,Male,General,25618,Urban,Yes,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Unemployed,Other,ST,21072,Rural,No,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Student,Other,SC,16270,Urban,No,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Self-employed,Male,OBC,17460,Rural,No,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Employee,Male,OBC,9753,Urban,No,Tamil Nadu Chief Minister's Solar Rooftop Capital Incentive Scheme,https://www.tnebltd.gov.in/usrp/,,18,75,tnebltd.gov.in/usrp,Subsidy for solar rooftop installation.,"Electricity bill, Aadhar, Land proof"
Unemployed,Female,SC,24067,Urban,Yes,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Self-employed,Female,ST,26599,Rural,No,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Student,Other,ST,7845,Urban,Yes,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Self-employed,Other,SC,49565,Urban,Yes,Tamil Nadu Kalaignar Sports Kit Scheme,https://www.tnsports.org.in/webapp/kalaigar_sports_kit.aspx,,12,18,tnsports.org.in,Sports kits for rural school students.,"School ID, Sports participation cert, Aadhar"
Employee,Other,General,49544,Urban,Yes,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Self-employed,Female,ST,37874,Rural,Yes,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Employee,Other,General,31670,Rural,No,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Student,Other,General,36220,Urban,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Farmer,Other,General,8475,Rural,Yes,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Employee,Female,General,47061,Urban,Yes,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Homemaker,Female,ST,15682,Rural,No,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Unemployed,Male,OBC,47085,Urban,Yes,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Student,Female,SC,37547,Rural,Yes,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Unemployed,Female,ST,6389,Rural,No,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Self-employed,Female,General,25469,Urban,Yes,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Homemaker,Other,General,43837,Urban,Yes,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Farmer,Female,ST,14577,Urban,No,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Unemployed,Female,OBC,35529,Rural,Yes,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Homemaker,Other,OBC,46205,Urban,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Unemployed,Female,OBC,26570,Rural,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Unemployed,Female,OBC,37995,Urban,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Self-employed,Male,OBC,41789,Rural,No,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Self-employed,Other,ST,34394,Rural,No,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Student,Male,SC,13169,Urban,No,Amma Two Wheeler Scheme for Working Women,https://krishnagiri.nic.in/scheme/amma-two-wheeler-scheme/,,18,40,District collectorate portal,50% subsidy on scooters for working women.,"Aadhar, 8th std cert, Income proof (<=2.5L), DL/learner permit [web:22]"
Student,Female,General,8498,Urban,Yes,Tamil Nadu Kalaignar Sports Kit Scheme,https://www.tnsports.org.in/webapp/kalaigar_sports_kit.aspx,,12,18,tnsports.org.in,Sports kits for rural school students.,"School ID, Sports participation cert, Aadhar"
Homemaker,Other,SC,33377,Rural,No,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Farmer,Female,SC,6912,Rural,Yes,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Farmer,Female,SC,31240,Rural,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Student,Male,ST,20346,Rural,No,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Homemaker,Female,OBC,31341,Urban,Yes,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Homemaker,Male,OBC,39106,Urban,No,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Employee,Male,SC,43641,Urban,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Farmer,Other,General,34374,Rural,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Student,Other,General,11588,Rural,Yes,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Unemployed,Male,OBC,30685,Urban,No,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Self-employed,Other,SC,24712,Urban,No,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Unemployed,Male,SC,27821,Urban,No,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Unemployed,Female,ST,22369,Urban,Yes,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Unemployed,Other,General,33415,Rural,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Farmer,Other,OBC,25787,Rural,Yes,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Farmer,Other,ST,25448,Rural,No,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Employee,Female,General,15459,Rural,No,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Unemployed,Female,SC,40294,Rural,No,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Student,Other,SC,16959,Urban,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Homemaker,Female,General,13523,Rural,No,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Student,Female,General,16873,Urban,No,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Employee,Female,ST,10555,Rural,No,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Employee,Female,General,25251,Urban,Yes,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Farmer,Female,ST,34665,Urban,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
